Группа,Период,Показатель,Подразделение
"О-02.09. Наличник, Плинтус, Уголок, Притвор, Штапик ",2022-01-31 23:59:59,0.784214,"Пятигорск, Винсады, Черкесское шоссе"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,1.458624,"Симферополь, Генерала Васильева, 23А"
О-01.01. Фанера ФК,2022-01-31 23:59:59,4.490825,"Армавир, Дружба отделение 1 СНТ, 36"
О-02.07.01. Брус строганый ,2022-01-31 23:59:59,0.0378,"Пятигорск, Винсады, Черкесское шоссе"
О-01.03. Фанера ФСФ хвойная,2022-01-31 23:59:59,0.160746,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,18020.72,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-01.05. OSB,2022-01-31 23:59:59,59.04436,"Адлер, Гастелло, 30А"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,6.493,"Краснодар, Тополиная, 27/1"
О-01.06. ДВП,2022-01-31 23:59:59,73.719722,"Краснодар, Тополиная, 27/1"
О-03.03. Мебельный щит и подоконная доска,2022-01-31 23:59:59,0.77856,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.04. Доска Строганая,2022-01-31 23:59:59,1.488804,"Армавир, Дружба отделение 1 СНТ, 36"
О-01.09. МДФ,2022-01-31 23:59:59,0.521139,"Новороссийск, Гайдук, Новороссийское ш. 24А"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,9.609277,"Севастополь, Камышовое шоссе, 25"
О-02.06. Круглый погонаж ель/сосна,2022-01-31 23:59:59,0.010895,"Севастополь, Камышовое шоссе, 25"
О-01.06. ДВП,2022-01-31 23:59:59,0.090294,"Симферополь, Генерала Васильева, 23А"
О-02.03. Доска пола,2022-01-31 23:59:59,7.20981,"Севастополь, Камышовое шоссе, 25"
"О-02.02. Имитация бруса, Блок - Хаус",2022-01-31 23:59:59,14.582922,"Краснодар, Ростовское шоссе, 26/1"
С-02. КРЕПЕЖ,2022-01-31 23:59:59,915.0,"Краснодар, ст-ца Елизаветинская, Степная, 252"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.0003,"Севастополь, Камышовое шоссе, 25"
О-04. ЛЕСТНИЧНЫЕ ЭЛЕМЕНТЫ,2022-01-31 23:59:59,0.054,"Сочи, Подгорная, 2 литЖ"
О-01.09. МДФ,2022-01-31 23:59:59,21.045183,"Краснодар, Тополиная, 27/1"
О-01.02. Фанера ФСФ береза,2022-01-31 23:59:59,1.714638,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.09. МДФ,2022-01-31 23:59:59,1.023511,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,36.860678,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,8.022508,"Пятигорск, Винсады, Черкесское шоссе"
С-01. МАТЕРИАЛЫ ЛАКОКРАСОЧНЫЕ,2022-01-31 23:59:59,922366.7,"Краснодар, Тополиная, 27/1"
О-02.07.02. Рейка/ Брусок ,2022-01-31 23:59:59,5.866804,"Адлер, Гастелло, 30А"
О-02.05. Планкен ,2022-01-31 23:59:59,0.1824,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
О-01.06. ДВП,2022-01-31 23:59:59,5.987324,"Ростов-на-Дону, 1-й км а/д Ростов-Новошахтинск, зд.3/1"
